ack_interval_ms,action,action_name,bdp_packets,cwnd,episode,loss_rate,ns3_reward,policy,queue_packets,reward,rtt_ms,step,throughput_mbps,total_reward
200.0,4,aggressive_probe,10.0,10.0,0,0.0,0.0,ppo,0.0,0.1394736842105263,1.0,1,0.0,0.1394736842105263
12.5,4,aggressive_probe,10.0,11.8,0,0.0,0.0,ppo,1.8000000000000007,0.693733947368421,102.612,2,0.2176,0.8332076315789473
10.0,4,aggressive_probe,10.0,13.741176470588234,0,0.0,0.0,ppo,3.7411764705882344,0.8209267801857587,114.53,3,0.272,1.6541344117647059
8.333333333333334,4,aggressive_probe,10.0,15.838235294117647,0,0.0,0.0,ppo,5.838235294117647,1.0292553547471623,118.347,4,0.3264,2.6833897665118682
7.142857142857143,4,aggressive_probe,10.0,18.102941176470587,0,0.0,0.0,ppo,8.102941176470587,1.2647998361713106,119.456,5,0.3808,3.948189602683179
5.555555555555555,4,aggressive_probe,10.0,20.55,0,0.0,0.0,ppo,10.55,1.7684118279153764,118.253,6,0.4896,5.716601430598556
5.0,4,aggressive_probe,10.0,23.191176470588236,0,0.0,0.0,ppo,13.191176470588236,2.09466149509804,110.322,7,0.544,7.811262925696596
4.545454545454546,4,aggressive_probe,10.0,26.044117647058822,0,0.0,0.0,ppo,16.044117647058822,2.3589723697110423,108.602,8,0.5984,10.170235295407638
3.8461538461538463,4,aggressive_probe,10.0,29.126470588235293,0,0.0,0.0,ppo,19.126470588235293,2.8064689641382876,113.062,9,0.7072,12.976704259545926
3.5714285714285716,4,aggressive_probe,10.0,32.455882352941174,0,0.0,0.0,ppo,22.455882352941174,3.088545790763674,109.604,10,0.7616,16.0652500503096
3.125,3,additive_increase,10.0,33.455882352941174,0,0.0,0.0,ppo,23.455882352941174,3.404006394478844,112.139,11,0.8704,19.469256444788446
3.125,3,additive_increase,10.0,34.455882352941174,0,0.0,0.0,ppo,24.455882352941174,3.4490087628998967,107.721,12,0.8704,22.918265207688343
2.9411764705882355,3,additive_increase,10.0,35.455882352941174,0,0.0,0.0,ppo,25.455882352941174,3.6839111313209494,108.793,13,0.9248,26.602176339009294
2.9411764705882355,3,additive_increase,10.0,36.455882352941174,0,0.0,0.0,ppo,26.455882352941174,3.707443499742002,106.522,14,0.9248,30.309619838751296
2.7777777777777777,3,additive_increase,10.0,37.455882352941174,0,0.0,0.0,ppo,27.455882352941174,3.935195868163054,108.309,15,0.9792,34.24481570691435
2.7777777777777777,3,additive_increase,10.0,38.455882352941174,0,0.0,0.0,ppo,28.455882352941174,3.9504691653766764,106.504,16,0.9792,38.195284872291026
2.631578947368421,3,additive_increase,10.0,39.455882352941174,0,0.0,0.0,ppo,29.455882352941174,4.172756796955624,108.048,17,1.0336,42.36804166924665
2.7777777777777777,3,additive_increase,10.0,40.455882352941174,0,0.0,0.0,ppo,30.455882352941174,3.9370844285345714,106.428,18,0.9792,46.30512609778122
2.7777777777777777,3,additive_increase,10.0,41.455882352941174,0,0.0,0.0,ppo,31.455882352941174,3.9140820601135187,108.021,19,0.9792,50.21920815789474
2.631578947368421,0,cubic_backoff,10.0,29.01764705882353,0,0.0,0.0,ppo,19.01764705882353,4.0784901573787415,107.575,20,1.0336,54.29769831527348
3.5714285714285716,4,aggressive_probe,10.0,32.338235294117645,0,0.0,0.0,ppo,22.338235294117645,3.0940105121259034,109.048,21,0.7616,57.391708827399384
3.3333333333333335,3,additive_increase,10.0,33.338235294117645,0,0.0,0.0,ppo,23.338235294117645,3.225419645252838,105.508,22,0.816,60.61712847265222
3.3333333333333335,3,additive_increase,10.0,34.338235294117645,0,0.0,0.0,ppo,24.338235294117645,3.2050620136738903,107.626,23,0.816,63.82219048632611
3.125,3,additive_increase,10.0,35.338235294117645,0,0.0,0.0,ppo,25.338235294117645,3.472754382094943,105.419,24,0.8704,67.29494486842106
3.125,3,additive_increase,10.0,36.338235294117645,0,0.0,0.0,ppo,26.338235294117645,3.4540267505159954,107.374,25,0.8704,70.74897161893705
2.9411764705882355,3,additive_increase,10.0,37.338235294117645,0,0.0,0.0,ppo,27.338235294117645,3.7152291189370485,105.816,26,0.9248,74.4642007378741
2.9411764705882355,3,additive_increase,10.0,38.338235294117645,0,0.0,0.0,ppo,28.338235294117645,3.70108120872033,107.046,27,0.9248,78.16528194659442
2.7777777777777777,3,additive_increase,10.0,39.338235294117645,0,0.0,0.0,ppo,29.338235294117645,3.9479188402992773,106.135,28,0.9792,82.1132007868937
2.7777777777777777,3,additive_increase,10.0,40.338235294117645,0,0.0,0.0,ppo,30.338235294117645,3.9334764718782247,106.872,29,0.9792,86.04667725877192
2.631578947368421,3,additive_increase,10.0,41.338235294117645,0,0.0,0.0,ppo,31.338235294117645,4.174954103457172,106.497,30,1.0336,90.22163136222909
2.631578947368421,3,additive_increase,10.0,42.338235294117645,0,0.0,0.0,ppo,32.338235294117645,4.167561735036119,106.529,31,1.0336,94.3891930972652
2.5,0,cubic_backoff,10.0,29.63529411764706,0,0.0,0.0,ppo,19.63529411764706,4.331393973168215,106.811,32,1.088,98.72058707043342
3.5714285714285716,4,aggressive_probe,10.0,33.00588235294118,0,0.0,0.0,ppo,23.00588235294118,3.126501230650155,105.853,33,0.7616,101.84708830108357
3.3333333333333335,3,additive_increase,10.0,34.00588235294118,0,0.0,0.0,ppo,24.00588235294118,3.1962586971104225,108.479,34,0.816,105.043346998194
3.125,3,additive_increase,10.0,35.00588235294118,0,0.0,0.0,ppo,25.00588235294118,3.4560210655314756,107.065,35,0.8704,108.49936806372547
2.9411764705882355,3,additive_increase,10.0,36.00588235294118,0,0.0,0.0,ppo,26.00588235294118,3.7139834339525284,105.831,36,0.9248,112.213351497678
2.7777777777777777,3,additive_increase,10.0,37.00588235294118,0,0.0,0.0,ppo,27.00588235294118,3.9491158023735804,106.88,37,0.9792,116.16246730005159
2.7777777777777777,3,additive_increase,10.0,38.00588235294118,0,0.0,0.0,ppo,28.00588235294118,3.95976173116615,105.893,38,0.9792,120.12222903121774
2.631578947368421,3,additive_increase,10.0,39.00588235294118,0,0.0,0.0,ppo,29.00588235294118,4.188929362745098,106.749,39,1.0336,124.31115839396284
2.631578947368421,3,additive_increase,10.0,40.00588235294118,0,0.0,0.0,ppo,30.00588235294118,4.191926994324045,105.742,40,1.0336,128.50308538828688
2.5,3,additive_increase,10.0,41.00588235294118,0,0.0,0.0,ppo,31.00588235294118,4.420294625902994,106.678,41,1.088,132.92338001418986
2.5,3,additive_increase,10.0,42.00588235294118,0,0.0,0.0,ppo,32.00588235294118,4.424122257481941,105.588,42,1.088,137.3475022716718
2.380952380952381,0,cubic_backoff,10.0,29.402941176470588,0,0.0,0.0,ppo,19.402941176470588,4.577249560113519,106.688,43,1.1424,141.92475183178533
3.5714285714285716,4,aggressive_probe,10.0,32.752941176470586,0,0.0,0.0,ppo,22.752941176470586,3.1355166511867902,104.931,44,0.7616,145.0602684829721
3.125,3,additive_increase,10.0,33.752941176470586,0,0.0,0.0,ppo,23.752941176470586,3.4253306862745094,110.031,45,0.8704,148.48559916924663
3.125,3,additive_increase,10.0,34.752941176470586,0,0.0,0.0,ppo,24.752941176470586,3.4515430546955623,107.492,46,0.8704,151.93714222394217
3.3333333333333335,3,additive_increase,10.0,35.752941176470586,0,0.0,0.0,ppo,25.752941176470586,3.1917154231166145,109.077,47,0.816,155.1288576470588
3.125,3,additive_increase,10.0,36.752941176470586,0,0.0,0.0,ppo,26.752941176470586,3.4638977915376676,106.421,48,0.8704,158.59275543859647
2.9411764705882355,3,additive_increase,10.0,37.752941176470586,0,0.0,0.0,ppo,27.752941176470586,3.71939015995872,105.434,49,0.9248,162.3121455985552
2.9411764705882355,3,additive_increase,10.0,38.752941176470586,0,0.0,0.0,ppo,28.752941176470586,3.6963782559339524,107.223,50,0.9248,166.00852385448914
2.7777777777777777,3,additive_increase,10.0,39.752941176470586,0,0.0,0.0,ppo,29.752941176470586,3.9538858875128997,105.245,51,0.9792,169.96240974200205
2.7777777777777777,3,additive_increase,10.0,40.752941176470586,0,0.0,0.0,ppo,30.752941176470586,3.929503519091847,106.976,52,0.9792,173.8919132610939
2.631578947368421,3,additive_increase,10.0,41.752941176470586,0,0.0,0.0,ppo,31.752941176470586,4.181461150670794,105.553,53,1.0336,178.0733744117647
2.631578947368421,0,cubic_backoff,10.0,29.226470588235294,0,0.0,0.0,ppo,19.226470588235294,4.08596718137255,106.843,54,1.0336,182.15934159313724
3.8461538461538463,4,aggressive_probe,10.0,32.561764705882354,0,0.0,0.0,ppo,22.561764705882354,2.8468718846749232,109.3,55,0.7072,185.00621347781217
3.3333333333333335,3,additive_increase,10.0,33.561764705882354,0,0.0,0.0,ppo,23.561764705882354,3.2188734687822493,106.181,56,0.816,188.22508694659442
3.125,3,additive_increase,10.0,34.561764705882354,0,0.0,0.0,ppo,24.561764705882354,3.4550358372033023,107.127,57,0.8704,191.6801227837977
3.3333333333333335,3,additive_increase,10.0,35.561764705882354,0,0.0,0.0,ppo,25.561764705882354,3.2215582056243544,106.077,58,0.816,194.90168098942206
2.9411764705882355,3,additive_increase,10.0,36.561764705882354,0,0.0,0.0,ppo,26.561764705882354,3.7070005740454075,106.575,59,0.9248,198.60868156346746
2.9411764705882355,3,additive_increase,10.0,37.561764705882354,0,0.0,0.0,ppo,27.561764705882354,3.7090729424664604,106.45,60,0.9248,202.31775450593392
2.9411764705882355,3,additive_increase,10.0,38.561764705882354,0,0.0,0.0,ppo,28.561764705882354,3.7073003263673887,106.266,61,0.9248,206.02505483230132
2.7777777777777777,3,additive_increase,10.0,39.561764705882354,0,0.0,0.0,ppo,29.561764705882354,3.938787957946336,106.89,62,0.9792,209.96384279024767
